kusini,"['ku', 'si', 'n', 'i']"
ikiwa,"['i', 'ki', 'w', 'a']"
mwaka,"['m', 'wa', 'k', 'a']"
mikoa,"['m', 'i', 'ko', 'ko', 'a']"
kutokana,"['ku', 'toka', 'toka', 'n', 'a']"
alipokuwa,"['a', 'li', 'po', 'ku', 'w', 'a']"
chama,"['cha', 'cha', 'm', 'a']"
wanawake,"['wa', 'na', 'wa', 'k', 'e']"
mtakuwa,"['m', 'ta', 'ku', 'w', 'a']"
kimekuwa,"['ki', 'me', 'ku', 'w', 'a']"
maoni,"['m', 'a', 'o', 'ni']"
husika,"['hu', 'si', 'si', 'k', 'a']"
tumaini,"['tu', 'm', 'a', 'i', 'ni']"
daima,"['dai', 'dai', 'm', 'a']"
amani,"['a', 'm', 'an', 'i']"
ilikuwa,"['i', 'li', 'ku', 'w', 'a']"
wamekuwa,"['wa', 'me', 'ku', 'w', 'a']"
kutuma,"['ku', 'tu', 'm', 'a']"
mkazi,"['m', 'ka', 'z', 'i']"
iliyokubalika,"['i', 'li', 'yo', 'kubali', 'kubali', 'k', 'a']"
haikuwa,"['ha', 'i', 'ku', 'w', 'a']"
lilikuwa,"['li', 'li', 'ku', 'w', 'a']"
washtakiwa,"['wa', 'shtaki', 'shtaki', 'w', 'a']"
utamwa,"['u', 'ta', 'm', 'w', 'a']"
ilituma,"['i', 'li', 'tu', 'm', 'a']"
wauzwe,"['wa', 'u', 'zw', 'e']"
haina,"['ha', 'i', 'n', 'a']"
hakukuwa,"['ha', 'ku', 'ku', 'w', 'a']"
wanadaiwa,"['wa', 'na', 'dai', 'dai', 'w', 'a']"
kulikuwa,"['ku', 'li', 'ku', 'w', 'a']"
makazi,"['m', 'aka', 'aka', 'z', 'i']"
wanyama,"['wa', 'nya', 'nya', 'm', 'a']"
walikuwa,"['wa', 'li', 'ku', 'w', 'a']"
kuishi,"['ku', 'i', 'sh', 'i']"
tulikuwa,"['tu', 'li', 'ku', 'w', 'a']"
waliokuwa,"['wa', 'li', 'o', 'ku', 'w', 'a']"
wakiishi,"['wa', 'ki', 'ish', 'i']"
hatua,"['ha', 'tu', 'a']"
kutakiwa,"['ku', 'ta', 'ki', 'w', 'a']"
kulia,"['ku', 'li', 'a']"
kutulia,"['ku', 'tu', 'li', 'a']"
